X;Y;osm_id;name;operator;accepts_bottle;indoor;offers_cold_water;offers_warm_water;offers_hot_water;fee;description;com_insee;com_nom
5.756044;45.1925858004487;node/10002131112;;;;;;;;;;"38421";Saint-Martin-d'Hères
5.4822561;44.8257142004839;node/1000814884;Fontaine des Endettés;;;;;;;;;"38186";Gresse-en-Vercors
5.794409;45.2210850004456;node/10010806554;;;;;;;;;;"38229";Meylan
5.6725837;45.1198490004564;node/10012828217;;;;;;;;no;;"38111";Claix
5.6924466;45.1191923004564;node/10012964825;;;;;;;;;;"38111";Claix
5.6923673;45.1206422004563;node/10013461843;;;;;;;;;;"38111";Claix
5.9637682;45.4444349004198;node/10013525891;;;;;;;;;;"38075";Chapareillan
5.6729601;45.1182028004565;node/10016059451;;;yes;;;;;no;;"38111";Claix
5.5912513;45.3640332004294;node/10024649788;;;;;;;;;;"38563";Voiron
5.6783129;45.123439600456;node/10034475512;;;;;;;;;;"38111";Claix
5.3384614;45.2314817004445;node/10034681324;;;yes;;;;;no;;"38523";Varacieux
5.7228503;45.1504196004532;node/10042607791;;;;;;;;;;"38151";Échirolles
5.7278267;45.1923961004487;node/10047603517;;;;;;;;;;"38185";Grenoble
5.580411;44.8452296004823;node/10048137802;;;;;;;;;;"38419";Saint-Martin-de-Clelles
5.7142619;45.199546800448;node/10053581586;;;;;;;;;;"38185";Grenoble
5.7201216;45.1939753004486;node/10073127759;;;;;;;;;;"38185";Grenoble
5.5513412;45.1772087004504;node/10079263672;;;;;;;;;;"38225";Autrans-Méaudre en Vercors
5.7143885;45.1909113004489;node/10082762303;;;;;;;;;;"38185";Grenoble
5.714468;45.1910588004489;node/10082762304;;;;;;;;;;"38185";Grenoble
5.7323568;45.1606919004521;node/10092601628;;;;;;;;;;"38185";Grenoble
5.2437325;45.0710364004613;node/10106668617;;;;;;;;;;"38394";Saint-Hilaire-du-Rosier
5.781458;45.2142323004464;node/10110973995;;;yes;;;;;;;"38229";Meylan
5.6728343;45.1067974004577;node/10118879067;;;yes;no;;;;no;;"38524";Varces-Allières-et-Risset
5.772919;45.2060870004473;node/10126118318;;;;;;;;;;"38229";Meylan
5.7072472;45.161323800452;node/10131972838;;;;;;;;;;"38185";Grenoble
5.9726185;45.4658416004171;node/10137927744;;;;;;;;;;"38075";Chapareillan
5.9726541;45.466516700417;node/10137927745;;;;;;;;;;"38075";Chapareillan
5.7668976;44.7448449004906;node/10138677769;;;;;;;;;;"38514";Tréminis
5.8286225;45.2488688004426;node/10139329719;;;yes;;;;;no;;"38397";Saint-Ismier
5.5171721;45.433946500421;node/10140279446;;;;;;;;;;"38082";Charavines
5.7272358;45.1877890004492;node/10140493417;;;;;;;;;;"38185";Grenoble
5.6978764;45.1464049004536;node/10154472972;;;;;;;;;;"38151";Échirolles
5.5922758;45.4934641004137;node/10161492532;;;;;;;;;;"38256";Montferrat
5.7224813;45.1632853004518;node/10173062826;;;;;;;;;;"38185";Grenoble
5.7243779;45.1631587004518;node/10173069527;;;;;;;;;;"38185";Grenoble
5.6962637;45.2129710004465;node/10178278855;;;;;;;;;;"38423";Saint-Martin-le-Vinoux
5.6910821;45.2155337004462;node/10178279760;;;;;;;;;;"38423";Saint-Martin-le-Vinoux
5.8239521;45.0620089004622;node/10201421277;;;;;;;;;;"38478";Séchilienne
5.8189875;45.0630289004621;node/10201526834;;;;;;;;;;"38478";Séchilienne
5.8459372;45.0749698004609;node/10202185454;;;;;;;;;;"38478";Séchilienne
5.8156026;45.0648966004619;node/10202328735;;;;;;;;;;"38478";Séchilienne
5.8162719;45.0650091004619;node/10202328736;;;;;;;;;;"38478";Séchilienne
5.4834322;45.4980101004131;node/10203723370;Borne fontaine à bouton;;;;;;;;;"38098";Chélieu
5.7150533;45.1731742004508;node/10209197611;;;;;;;;;;"38185";Grenoble
5.7171848;45.1545405004528;node/10209627088;;;;;;;;;;"38151";Échirolles
5.7231404;45.1546939004527;node/10209742834;;;;;;;;;;"38151";Échirolles
5.7641175;45.1592755004523;node/10214372078;;;;;;;;;;"38309";Poisat
5.764631;45.1589103004523;node/10214372079;;;;;;;;;;"38309";Poisat
5.7252892;45.1643703004517;node/10226203662;;;;;;;;;;"38185";Grenoble
5.6145533;45.0790418004605;node/1024678726;Source du Col de l'Arc;;;;;;;;;"38436";Saint-Paul-de-Varces
5.4850627;45.142813600454;node/10272962098;;;;;;;;;;"38333";Rencurel
5.6539357;45.2252238004452;node/10291234588;;;;;;;;;;"38474";Sassenage
5.4746228;45.1022264004582;node/10291391841;;;no;;;;;no;;"38333";Rencurel
5.4811191;45.1167291004567;node/10291453482;;;;;;;;;;"38333";Rencurel
5.3711048;45.2589500004415;node/10297402164;;;;;;;;;;"38275";Serre-Nerpol
5.7424165;45.1756966004505;node/10300957499;;;;;;;;;;"38185";Grenoble
5.9766621;45.4322592004212;node/10308719643;;;;;;;;;;"38027";Barraux
5.6756811;44.9951460004687;node/10312924209;;;;;;;;;Eau coupée 2023-01-07;"38115";Saint-Martin-de-la-Cluze
5.4674425;45.0875891004597;node/10314993122;;;;;;;;;;"38333";Rencurel
5.7916056;45.1399558004543;node/10591641132;;;;;;;;;;"38188";Herbeys
5.8112326;45.1188554004565;node/10591687368;;;;;;;;;;"38529";Vaulnaveys-le-Haut
5.703517;45.208691500447;node/10608508709;;;;;;;;;;"38423";Saint-Martin-le-Vinoux
5.8930665;45.2129067004465;node/10669830085;;;;;;;;;;"38120";La Combe-de-Lancey
5.2962175;45.3924164004261;node/10675800284;;;;;;;;;;"38180";Gillonnay
5.2771188;45.5859563004018;node/10675836734;;;;;;;;;;"38053";Bourgoin-Jallieu
5.5366924;45.4961315004133;node/10681659361;;;yes;;;;;no;;"38520";Valencogne
6.0086154;45.342267100432;node/10683781418;;;;;;;;;;"38181";Goncelin
5.7135585;45.1434022004539;node/10685124107;;;;;;;;;nettoyage crampons de foot;"38151";Échirolles
5.7423949;45.152083200453;node/10691938807;;;;;;;;;;"38158";Eybens
5.6765836;45.0945668004589;node/10694869698;;;;;;;;;;"38524";Varces-Allières-et-Risset
5.5859736;45.5363677004082;node/10700096238;;;yes;;;;;;;"38001";Les Abrets en Dauphiné
5.7361784;45.1769196004504;node/10711724910;;;yes;;;;;no;;"38185";Grenoble
5.7130729;45.1892295004491;node/10711754616;;;;;;;;;;"38185";Grenoble
5.6769071;45.2353723004441;node/10712805709;;;;;;;;;;"38382";Saint-Égrève
4.8782525;45.5852594004019;node/10712902918;;;yes;;;;;no;;"38110";Chuzelles
5.7180205;45.2032944004476;node/10735187705;;;yes;;;;;;;"38423";Saint-Martin-le-Vinoux
5.5416603;45.3814165004274;node/10744889842;;;;;;;;;;"38270";La Murette
5.7426337;45.1453394004537;node/1075195369;;;;;;;;;;"38158";Eybens
5.7434249;45.1693003004512;node/10754426182;;;;;;;;;;"38185";Grenoble
6.0462115;44.8609653004809;node/1081747675;;;;;;;;;;"38522";Valjouffrey
6.0422816;44.8622940004808;node/1081748001;;;;;;;;;;"38522";Valjouffrey
6.0447048;44.8612788004809;node/1081748086;;;;;;;;;;"38522";Valjouffrey
6.0466878;44.860471700481;node/1081748163;;;;;;;;;;"38522";Valjouffrey
5.8170337;45.1493458004533;node/1106484722;;;;;;;;;;"38422";Saint-Martin-d'Uriage
5.4194274;45.0965018004587;node/1126284224;Fontaine de Pétouze;;;;;;;;;"38322";Presles
5.7330715;45.1438391004539;node/1201815716;;;;;;;;;;"38151";Échirolles
5.8873177;45.3066825004361;node/1224237013;;;;;;;;;;"38395";Plateau-des-Petites-Roches
5.6989619;45.1601400004522;node/1231572968;;;;;;;;;;"38486";Seyssins
5.7299607;45.1924809004487;node/1234895265;Pain et Cie;;;;;;;;;"38185";Grenoble
5.886045;45.3565171004303;node/1260175437;Fontaine de l'Aulp du Seuil;;;;;;;;;"38395";Plateau-des-Petites-Roches
5.7510469;45.2339324004442;node/1271354378;;;yes;;;;;no;;"38126";Corenc
5.5102822;44.905279400477;node/1297487406;Fontaine du Play;;;;;;;;;"38186";Gresse-en-Vercors
5.728986;45.0746695004609;node/1298491660;;;;;;;;;;"38071";Champ-sur-Drac
5.6826633;45.0502318004634;node/1303833298;;;;;;;;;;"38545";Vif
5.6974641;45.1193607004564;node/1303896971;;;;;;;;;;"38317";Le Pont-de-Claix
5.7632548;45.2089887004469;node/1313235977;;;;;;;;;;"38229";Meylan
5.777104;45.2095352004469;node/1313479791;;;yes;;;;;no;;"38229";Meylan
5.7858684;45.2122025004466;node/1313479815;;;;;;;;;;"38229";Meylan
5.7700093;45.2097403004469;node/1313490915;;;;;;;;;;"38229";Meylan
5.7014611;44.9667746004714;node/1323868461;;;;;;;;;;"38254";Monteynard
5.6462709;44.8000066004861;node/1340118359;;;;;;;;;;"38301";Le Percy
5.6587876;44.7940789004866;node/1340158877;;;;;;;;;;"38243";Monestier-du-Percy
5.6577842;44.9153284004761;node/1340333963;;;;;;;;;;"38513";Treffort
6.104828;45.0655791004619;node/1344350358;Fontaine Beaucers;;;;;;;;;"38173";Le Freney-d'Oisans
5.8684339;45.1854085004495;node/1367855978;;;;;;;;;"Au 2022-02-19, fermés pour cause de travaux";"38334";Revel
5.6647283;45.1592447004523;node/1371315071;;;;;;;;;;"38486";Seyssins
5.9081335;44.8873994004786;node/1371930301;;;;;;;;;;"38518";Valbonnais
5.7558312;45.18110680045;node/1379857973;;;;;;;;;;"38421";Saint-Martin-d'Hères
5.5911223;45.3627628004296;node/1392352572;;;;;;;;;;"38563";Voiron
5.1708624;45.7904925003737;node/1392978496;;;;;;;;;;"38011";Anthon
5.7988058;45.2126357004465;node/1394695150;;;;;;;;;;"38229";Meylan
5.7301168;45.1072205004577;node/1397529665;;;;;;;;;;"38068";Champagnier
6.1514976;45.0494608004634;node/1407534754;;;;;;;;;;"38237";Mizoën
5.6461699;45.2120254004466;node/1411719691;;;;;;;;;;"38474";Sassenage
5.740898;45.1475760004535;node/1412034335;;;;;;;;;;"38158";Eybens
5.7513489;45.2752637004396;node/1416328355;;;;;;;;;;"38472";Sarcenas
5.9562135;45.2219120004455;node/1424184101;;;;;;;;;;"38350";Sainte-Agnès
5.9369141;45.2518900004422;node/1427119738;;;;;;;;;;"38206";Laval-en-Belledonne
6.0300622;45.4376530004206;node/1437223307;;;;;;;;;;"38314";Pontcharra
5.5720985;44.9751709004706;node/1445662320;;;;;;;;;;"38090";Château-Bernard
5.4125368;45.1704898004511;node/1448541017;;;;;;;;no;;"38117";Cognin-les-Gorges
6.0320102;44.8724339004799;node/1452126527;;;;;;;;;;"38522";Valjouffrey
6.0315589;44.87203050048;node/1452126530;;;;;;;;;;"38522";Valjouffrey
6.171239;45.0718348004612;node/1467599488;;;;;;;;;;"38040";Besse
6.1724168;45.0721092004612;node/1467599520;;;;;;;;;;"38040";Besse
6.1705383;45.0716786004612;node/1467612718;;;;;;;;;;"38040";Besse
5.7920497;45.208509400447;node/1467995481;;;;;;;;;;"38229";Meylan
5.5175807;45.0246452004659;node/1468012175;;;;;;;;;;"38129";Corrençon-en-Vercors
6.0457134;45.3183012004347;node/1487636676;;;;;;;;;;"38504";Theys
6.046016;45.3185309004347;node/1487636699;;;;;;;;;;"38504";Theys
5.6302987;45.1704887004511;node/1548800274;;;;;;;;;;"38433";Saint-Nizier-du-Moucherotte
5.7495601;45.1537819004528;node/1587011578;;;;;;;;;;"38158";Eybens
5.5396343;45.4981954004131;node/1588087375;;;;;;;;;;"38520";Valencogne
5.9090247;45.2588190004415;node/1600934728;;;;;;;;;;"38175";Froges
5.963106;45.3992990004252;node/1701191970;;;;;;;;;;"38166";La Flachère
5.3443428;45.3388684004324;node/1738667098;Fontaine des Halles;;;;;;;;;"38384";Saint-Étienne-de-Saint-Geoirs
5.9652515;45.2771289004394;node/1753804666;;;;;;;;;;"38002";Les Adrets
6.0258188;45.4213070004226;node/1758380718;;;;;;;;;;"38426";Saint-Maximin
5.922633;45.4408101004202;node/1768014288;;;;;;;;;;"38075";Chapareillan
5.9657552;45.27193430044;node/1768463884;;;;;;;;;;"38002";Les Adrets
5.7069278;45.3233106004342;node/1773707692;;;;;;;;;;"38407";La Sure en Chartreuse
5.3219522;45.1545855004528;node/1774569581;;;;;;;;no;;"38416";Saint-Marcellin
5.7267915;45.1745315004506;node/1775031274;;;;;;;;;;"38185";Grenoble
5.7486377;44.7437933004907;node/1777181674;;;;;;;;;;"38514";Tréminis
5.6170936;45.2079581004471;node/1780075736;;;;;;;;;;"38153";Engins
5.3242289;45.1584667004523;node/1791427476;;;;;;;;;;"38416";Saint-Marcellin
5.7089099;45.1864759004494;node/1796784732;;;;;;;;;;"38185";Grenoble
5.7263162;45.1919619004488;node/1796784733;;;;;;;;;;"38185";Grenoble
5.7128234;45.1815776004499;node/1800719101;;;;;;;;;;"38185";Grenoble
5.325057;45.1553305004527;node/1807127551;;;;;;;;;;"38416";Saint-Marcellin
5.3237592;45.1561894004526;node/1807127555;;;;;;;;;;"38416";Saint-Marcellin
5.3195576;45.1546754004527;node/1808547319;;;;;;;;;;"38416";Saint-Marcellin
5.9901136;45.3719827004285;node/1834723531;;;;;;;;no;;"38100";Le Cheylas
6.0452055;44.8616006004809;node/1846173296;;;;;;;;;;"38522";Valjouffrey
6.0266895;44.9532617004726;node/1856131477;;;;;;;;;;"38073";Chantepérier
5.7230805;45.1495346004533;node/1863199182;;;;;;;;;;"38151";Échirolles
5.7255036;45.2007152004478;node/1864272627;;;;;;;;;;"38185";Grenoble
5.7338661;45.1851718004495;node/1864272646;;;;;;;;;;"38185";Grenoble
5.2831852;45.074387000461;node/1871486193;;;;;;;;;;"38409";Saint-Just-de-Claix
5.7097017;45.1754565004506;node/1903697619;;;;;;;;;;"38185";Grenoble
5.7567065;45.1584368004523;node/1909931926;;;;;;;;;;"38309";Poisat
5.7595388;45.1591003004523;node/1912998743;;;;;;;;;;"38309";Poisat
6.0081081;44.9693056004712;node/1914880905;;;;;;;;;;"38073";Chantepérier
5.930235;45.3227908004342;node/1915645219;;;;;;;;;;"38503";La Terrasse
5.6324762;45.3450630004317;node/1923688206;Le Bret;;;;;;;;;"38061";La Buisse
5.743752;45.2133701004465;node/1929029203;Fontaine de la Vierge Noire;;;;;;;;;"38516";La Tronche
5.767086;45.2668803004406;node/1929182880;;;;;;;;;;"38471";Le Sappey-en-Chartreuse
5.944341;45.161275000452;node/1930165733;;;yes;;;;;;;"38334";Revel
5.716843;45.1916304004488;node/1934092218;;;;;;;;;;"38185";Grenoble
5.7115464;45.1907431004489;node/1934104789;;;yes;;yes;;;;;"38185";Grenoble
5.7362894;45.1840505004496;node/1934118577;;;;;;;;no;;"38185";Grenoble
5.737881;45.1842128004496;node/1934118578;;;;;;;;;;"38185";Grenoble
5.7580717;45.1768536004504;node/1934225958;;;;;;;;;;"38421";Saint-Martin-d'Hères
5.7659229;45.199466200448;node/1935434970;;;;;;;;;;"38229";Meylan
5.7352063;45.1856318004495;node/1935437824;;;;;;;;;;"38185";Grenoble
5.9325621;45.2526057004422;node/1938576822;;;;;;;;;;"38206";Laval-en-Belledonne
5.9335059;45.2530930004421;node/1938576858;;;;;;;;;;"38206";Laval-en-Belledonne
5.925911;45.2625277004411;node/1938577094;;;;;;;;;;"38175";Froges
5.7476481;45.1354663004547;node/1940150993;;;;;;;;;;"38057";Bresson
5.7379112;45.1854024004495;node/1943133699;;;;;;;;;;"38185";Grenoble
5.8327049;44.9288619004749;node/1952508172;;;;;;;;;;"38273";Nantes-en-Rattier
5.8332714;44.9282485004749;node/1952528446;;;;;;;;;;"38273";Nantes-en-Rattier
5.8342007;44.9292825004748;node/1952528447;;;;;;;;;;"38273";Nantes-en-Rattier
5.6684468;45.0551628004629;node/1975357781;;;;;;;;;;"38545";Vif
5.668288;45.0562282004628;node/1975376195;;;;;;;;;;"38545";Vif
5.6938216;45.1672242004514;node/1997879207;;;;;;;;;;"38486";Seyssins
5.8983547;45.2999277004368;node/2007049449;;;;;;;;;;"38214";Lumbin
5.8859436;45.307286100436;node/2007049536;;;;;;;;;;"38395";Plateau-des-Petites-Roches
5.8867032;45.3078594004359;node/2007049544;;;;;;;;;;"38395";Plateau-des-Petites-Roches
5.7459168;45.1465876004536;node/2008626872;;;;;;;;;;"38158";Eybens
5.7483423;45.1606501004521;node/2008627074;;;;;;;;;;"38158";Eybens
5.7428391;45.1603709004521;node/2008752294;;;;;;;;;;"38158";Eybens
5.8485211;45.1649104004517;node/2021723516;;;;;;;;;;"38422";Saint-Martin-d'Uriage
5.3175946;45.1550697004527;node/2029820269;;;;;;;;;;"38416";Saint-Marcellin
5.9728932;45.2505534004424;node/2068426084;;;;;;;;;;"38206";Laval-en-Belledonne
5.8749474;45.013216000467;node/2071296049;;;;;;;;;;"38264";La Morte
5.2683185;45.6096702003987;node/2077418595;;;;;;;;;;"38053";Bourgoin-Jallieu
6.0220873;45.4305682004214;node/2092017071;;;;;;;;;;"38314";Pontcharra
5.577395;45.1656792004516;node/2119534631;;;;;;;;;;"38225";Autrans-Méaudre en Vercors
5.9302813;45.2531936004421;node/2122689174;;;;;;;;;;"38206";Laval-en-Belledonne
5.9326336;45.2534410004421;node/2122689177;;;;;;;;;;"38206";Laval-en-Belledonne
5.6881699;45.1832922004497;node/2140384018;;;;;;;;;;"38485";Seyssinet-Pariset
5.4137822;45.2564986004417;node/2148894592;;;;;;;;;;"38526";Vatilieu
5.6975836;45.1782215004502;node/2160185918;;;;;;;;;;"38485";Seyssinet-Pariset
5.6986549;45.1883555004492;node/2163427461;;;;;;;;;;"38169";Fontaine
